"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"Kcnc1",17.1677705381287,-0.797058684667167,0.943041367013891,-0.845200128591418,0.397999110556321,0.946788302294781,"No","NotSig"
"Pym1",137.772737838778,0.31997436587802,0.380033676540017,0.841963188081642,0.399808559071125,0.946788302294781,"No","NotSig"
"Zfp991",58.7639610609775,0.445362901335577,0.52902911469827,0.841849510663677,0.399872194493252,0.946788302294781,"No","NotSig"
"Ptges3",4264.94077776457,0.148900351959499,0.176613281256964,0.843086946235127,0.399179818811869,0.946788302294781,"No","NotSig"
"Plxnc1",2162.34718426899,-0.178527768810704,0.21201354399427,-0.842058320649217,0.399755309542149,0.946788302294781,"No","NotSig"
"Gm21244",15.1589839910185,-0.845372202965734,1.00389274472645,-0.84209414542197,0.39973525807979,0.946788302294781,"No","NotSig"
"Gca",1002.65963736928,-0.219438066841743,0.261033188829873,-0.840651979257552,0.400542929930076,0.946875187281949,"No","NotSig"
"Gapdh",40478.7187714912,0.146472229200153,0.174252815950056,0.840573097206845,0.400587135360214,0.946875187281949,"No","NotSig"
"Nnt",489.61879943374,-0.203216965990291,0.241802215684872,-0.840426401448416,0.400669351325186,0.946898602346745,"No","NotSig"
"Bbs7",42.1008673580603,0.528543623911497,0.629025981365204,0.840257222387499,0.400764180693407,0.946951812735505,"No","NotSig"
"Baiap2",526.973496049498,0.207958964258879,0.247608725111848,0.839869290409464,0.400981677793612,0.947026104255365,"No","NotSig"
"Pafah2",28.918369804014,0.634045585179836,0.755197864298028,0.839575447911515,0.40114647006512,0.947026104255365,"No","NotSig"
"Trim39",238.762473263837,-0.28452203868021,0.338845007042393,-0.839681957139223,0.401086733035204,0.947026104255365,"No","NotSig"
"Polr1c",911.955772630146,0.172482017265672,0.205444257949272,0.839556281530446,0.40115722033635,0.947026104255365,"No","NotSig"
"Psme3",3804.5508956065,0.158633677215615,0.188936959665314,0.839611675220249,0.401126150927286,0.947026104255365,"No","NotSig"
"Mrgbp",685.619406593018,-0.190982582020971,0.227718968040066,-0.838676653353569,0.401650782939751,0.947059450717499,"No","NotSig"
"Slc35g1",196.961983056953,0.293313674137929,0.349478593563062,0.83928938578895,0.401306938018323,0.947059450717499,"No","NotSig"
"Prkce",36.1743526777334,-0.599086924036077,0.714120335077552,-0.83891592860329,0.40151648864792,0.947059450717499,"No","NotSig"
"C87436",418.399667069333,-0.205639890374322,0.245182847156915,-0.838720541664623,0.401626148412635,0.947059450717499,"No","NotSig"
"C2cd3",480.831819353125,-0.20598669005607,0.245623178390038,-0.838628876176225,0.401677601319969,0.947059450717499,"No","NotSig"
"Top1",3446.90695903767,-0.159965508106292,0.190695659759904,-0.838852380320018,0.401552152774235,0.947059450717499,"No","NotSig"
