"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"Zfp983",270.188952032926,-0.223596065616316,0.231835580975033,-0.96445966005708,0.334815523718984,0.583105595442378,"No","NotSig"
"Olfr63",59.980481618602,-0.471745603564797,0.489163224642602,-0.964393028338278,0.33484891618423,0.583105595442378,"No","NotSig"
"Pacs1",447.532392525373,0.16692625604263,0.173115692584261,0.964246819862284,0.33492219603693,0.583149611216371,"No","NotSig"
"Olfr279",44.1409692083186,-0.480810701353057,0.498932308027363,-0.963679227857676,0.335206771694407,0.583561459235262,"No","NotSig"
"Gvin-ps4",61.2310443614395,-0.441956730132333,0.45874239115874,-0.96340939631934,0.335342112713229,0.58371342387739,"No","NotSig"
"Safb2",1140.67718421167,-0.126738503902336,0.13156532748319,-0.96331234320478,0.335390800828761,0.58371453416444,"No","NotSig"
"Pts",3166.77965380974,-0.0900590547427943,0.0934991033592312,-0.963207683359059,0.335443310073668,0.583719381300626,"No","NotSig"
"Rraga",1736.89921590921,-0.104463021693226,0.108463676794907,-0.963115254618868,0.335489687211143,0.583719381300626,"No","NotSig"
"Syvn1",496.454992374148,0.160160560216324,0.166337675172,0.962864005708339,0.335615774981733,0.583855138834039,"No","NotSig"
"Pfkfb1",37.0972425677611,-0.561490893499186,0.583692713166113,-0.96196317143228,0.336068104073697,0.584273516069165,"No","NotSig"
"Ss18",1490.21319705069,0.111742835638242,0.116134287253765,0.962186433314675,0.335955962723884,0.584273516069165,"No","NotSig"
"Fam193a",305.742003493173,-0.236105721189143,0.245480521308155,-0.961810411396172,0.336144847201794,0.584273516069165,"No","NotSig"
"Grtp1",42.8201719321472,0.477403960193843,0.496246912213591,0.962029079565059,0.336034996826088,0.584273516069165,"No","NotSig"
"Zfp579",62.9985104702059,-0.449963586677562,0.46765476482043,-0.962170431109238,0.335963999608578,0.584273516069165,"No","NotSig"
"Bloc1s4",786.45937314795,0.132392666593058,0.137648541593475,0.96181670405241,0.336141685693366,0.584273516069165,"No","NotSig"
"Zfp189",35.6367304720041,-0.51600413355824,0.536746873187432,-0.961354708028362,0.336373849084692,0.584587913974369,"No","NotSig"
