gene_id	a161	a165	a170	a173
Rhoc	39	20	78	71
Tead3	13	11	3	5
Ppard	37	34	29	61
1810013A23Rik	37	34	29	61
Def6	588	618	718	802
Peg3	6	1	3	0
Zim1	2	8	3	7
Metrn	132	183	309	347
Lmf1	301	335	457	538
Ciao3	690	686	797	962
Angptl4	36	55	96	95
Dbf4	442	513	467	554
Daxx	459	539	559	685
Cd320	107	132	143	164
Ipo4	98	143	181	245
Tm9sf1	887	955	1224	1306
Rec8	11	24	28	63
Irf9	2249	2448	2383	2921
Gmpr2	1458	1404	1335	2014
Mdp1	2240	2292	2289	2738
Dhrs1	1197	1387	1876	2051
Ncan	92	64	45	62
Tmem161a	373	383	428	509
Armc6	101	121	95	148
Borcs8	1855	1302	1721	1695
Slc25a42	80	57	84	71
Snx9	1723	1700	1484	1940
Ranbp3	1058	1187	1371	1549
Ndufa11	2939	2977	3568	4213
Bmp8b	9	8	10	23
Nr2f6	276	344	596	700
Use1	1786	1795	1972	2428
Ocel1	1026	746	1023	1032
Dyrk1b	101	143	216	202
Braf	331	258	313	387
Ndufb2	2396	2353	2566	3115
Hltf	1418	1611	1505	2059
Prpf6	759	811	931	1132
Rgs19	3695	3916	3890	4784
Rgs20	8	12	6	7
Abhd3	13	5	11	12
Snrpd1	3514	3654	3522	4153
Tchp	155	159	139	150
Tiam1	57	61	133	145
Tsc2	246	266	358	346
Rpl3l	15	2	7	12
Slc9a3r2	15	11	44	50
Puf60	3397	3822	4456	4784
Golga2	190	242	217	319
Uck1	660	760	827	898
Scin	153	154	182	205
Ikzf4	19	38	18	25
Mien1	2341	2228	2421	2884
Axl	266	156	451	355
Tgfb1	1614	1890	2950	3542
Ccdc97	700	829	900	992
Zfp40	83	95	57	92
Akap8l	1668	1636	1689	1993
Pdcd2l	939	1043	986	1254
Gtf2f1	1263	1358	1516	1718
Clpp	878	1030	1245	1417
Alkbh7	445	542	583	683
Dennd1c	2060	2204	1872	2150
Med6	649	546	644	863
Lcp2	6235	7099	6213	8539
Cse1l	899	1217	1307	1533
Naa20	2006	1968	2570	3218
Prkra	478	516	631	854
Fkbp7	71	82	145	110
Plekha3	873	918	1407	1577
Ykt6	596	702	719	857
Baz1b	1084	1107	898	1185
Pex6	315	364	474	519
Mrpl2	992	1006	1371	1587
Mea1	1948	1779	2326	2777
Gnmt	62	41	39	89
Grin2d	12	4	20	5
Kdelr1	723	692	809	923
Tmem143	109	102	120	93
Pdxk-ps	0	0	1	5
Ggct	1180	1168	837	1149
Jag2	31	22	60	64
Btbd6	137	127	146	200
Nudt14	2256	2264	2463	2860
Epdr1	28	13	23	18
Flii	1011	1046	1188	1449
Top3a	73	111	122	117
Atg4d	315	356	521	516
Qtrt1	191	285	235	286
Hdgfl2	705	803	1021	999
Chaf1a	212	195	188	242
Adprh	1978	2241	2587	2932
Tmem39a	976	942	1085	1201
Timmdc1	196	214	218	216
Pla1a	79	31	51	60
Mcm2	963	1177	1179	1174
Tpra1	554	621	866	1081
Nab1	1429	1855	1625	1920
Adgre5	7624	8275	6266	8254
Il17ra	1550	1768	1678	1976
Lamb1	18	15	30	26
Kcnn1	6	4	10	14
Arrdc2	220	271	246	348
Ppp1r17	1	1	1	3
Cd36	286	176	185	283
Map2k7	353	382	533	645
Timm44	581	682	797	911
Ap2a2	563	574	679	736
Pnkp	1217	1339	1600	1907
Med25	304	316	450	537
Bcam	10	16	51	94
Clptm1	3925	4501	6528	7690
Relb	6779	7091	11881	12894
Tomm40	815	955	1211	1362
Apoe	5876	4636	10346	11096
Apoc2	21	7	24	27
Hbp1	1968	2216	3128	3654
Prkar2b	493	605	611	648
Cdkn1b	594	563	649	809
Klf4	1193	1093	1731	2491
Ap1m1	2778	2593	3335	3599
Rab8a	7217	7306	8848	10019
Hmgn2	3929	4819	4530	5318
Fam32a	10088	8738	11034	11609
Stard3nl	2165	2139	2189	3027
Stk11	506	463	611	693
Efna2	72	111	84	70
Atp5d	5361	5621	6625	8209
Ppp5c	802	983	1142	1205
Cdk12	482	395	355	391
Lipe	461	503	694	768
Pafah1b2	1035	924	1224	1510
Tbc1d8	2424	2345	2922	3279
Cnot11	463	465	516	662
Slc2a3	1104	1440	1115	1311
Foxj2	219	230	204	360
Sri	11599	12430	12609	15734
Dgcr2	476	608	626	709
Irf3	1623	1592	1632	2115
Bcl2l12	480	503	617	725
Zfp959	412	374	365	455
Mpnd	1696	1916	2957	3247
Sh3gl1	1087	1182	1288	1523
Ebi3	1418	1377	917	1053
Yju2	371	379	441	518
Ranbp2	1234	999	1045	1092
Grk5	83	59	82	143
Dvl3	198	236	218	271
Abcf3	531	736	788	998
Eif2b5	628	751	775	1002
Cyth2	575	716	860	1108
Sult2b1	113	114	175	117
Gm5897	113	114	175	117
Car11	18	18	36	42
Dlgap1	13	20	22	26
Plag1	8	10	13	2
Hck	11081	12003	13762	15451
Mrpl4	1467	1584	1823	2297
Keap1	584	629	683	768
Ap1m2	39	37	17	36
Glg1	1195	1236	1496	1713
Atp8b3	0	0	1	6
Btbd2	284	268	429	520
Csnk1g2	989	1135	1421	1589
Abhd17a	1857	2028	2753	3384
Mob3a	5017	5869	5544	6641
Cacnb3	868	664	780	720
Fkbp11	23	15	15	41
Ddx23	557	444	444	424
Pld3	205	166	566	572
Grik5	21	40	20	31
Cd79a	316	67	181	241
Rabac1	2942	2841	3736	4484
Etv3	4799	4786	4637	4670
Prkcsh	636	883	1054	1254
Elavl3	3	7	0	7
Rab3b	1	4	1	15
St8sia6	2912	3311	3826	4796
Fcgrt	1537	1632	2604	3201
Nosip	1348	1370	1765	1960
Pih1d1	894	850	1045	1476
Rps11	28267	28290	24521	33513
Supt5	1487	1825	1984	2348
Dll3	8	14	10	0
Paf1	1351	1574	2264	2904
Timm50	1063	1211	1374	1525
Med29	1260	1284	1772	2282
Bicd1	179	204	183	196
Ncstn	1448	1542	1840	2095
Pex19	706	756	1026	1103
Cyp4f18	260	507	821	1072
Impdh1	155	166	185	305
Dusp3	151	113	304	452
Prodh	20	33	28	33
Ess2	529	525	655	723
Slc25a1	986	1102	1508	1879
Dgcr6	130	115	238	234
Ddr1	1740	1730	1976	2121
Ier3	2553	2643	2911	3491
Fosb	1507	1681	2697	3930
Klc4	167	176	219	302
Ercc1	445	499	538	568
As3mt	402	402	722	875
Homer3	27	42	71	66
Crtc1	146	151	123	156
Rnf215	379	434	444	551
Sec14l2	7	6	2	2
Aven	583	649	1121	1259
Cp	32	34	45	52
Crot	912	966	894	1185
Rps6ka1	2670	3264	3258	3567
Snrnp200	749	619	606	797
Ciao1	1077	1135	1235	1605
Taf6l	350	367	446	502
Gm2518	350	367	446	502
Insig2	482	509	609	676
Kpna6	191	242	205	290
Man1a	4284	4741	4991	5591
Itpkc	81	77	115	100
Coq8b	265	273	394	402
Brd8	1415	1459	1503	1780
Kif20a	237	259	182	288
Farsa	922	1036	1216	1250
Gcdh	282	325	337	334
Mast2	143	160	130	176
Dnase2a	647	612	580	696
Gm38426	647	612	580	696
Rad23a	2022	2287	2665	3078
Calr	9381	10413	13052	16077
Syce2	804	874	736	927
Nfat5	1002	846	958	1160
Nob1	437	576	501	586
Nqo1	18	12	18	21
Ppfia3	28	57	42	63
Gys1	147	170	215	183
Ruvbl2	614	719	750	915
Bax	2713	3362	4302	5321
Il7r	383	305	401	302
Tfam	770	895	930	1140
Zfp81	206	212	167	211
Efnb3	0	0	8	7
Mmd	361	468	719	881
Hlf	4	0	0	3
Fam162a	1135	1112	1140	1305
Rpl8	9886	10350	9225	12885
Ssbp2	374	416	660	820
Fancl	1158	1280	1211	1611
Brinp2	35	27	16	21
Gstm5	30	11	73	65
Gstm7	5	6	15	18
Stat3	3418	3528	4007	4692
Stat5a	604	586	590	753
Cavin1	0	3	2	4
Map3k11	448	495	537	696
Akt2	718	859	965	1134
Dnaja3	530	690	760	1047
Hmox2	3650	3838	3924	4809
Cdip1	1103	1312	1748	2174
Map3k20	153	142	170	267
Cwc15	3858	3724	4074	5129
Dnmt1	590	567	531	571
Ppan	561	623	577	767
Cacna1e	206	205	76	77
Cacna1b	1	9	6	7
Trmt10a	192	230	181	227
Etv1	6	11	8	18
Kifc2	32	21	48	39
Psap	37900	35204	54602	68397
Ikbkg	505	587	614	854
Wars2	188	191	126	171
Atn1	79	53	90	143
Phb2	1948	2386	2659	3275
Ptpn6	15815	18525	17185	20265
Eno2	134	141	223	192
Emg1	2716	2662	2598	3281
Lpcat3	592	670	1137	1322
Atp6v1f	10292	10597	11771	14417
Il12b	1118	1678	1443	2093
Clcn5	45	58	59	73
Clcn3	776	704	608	735
Hif3a	11	12	5	8
Pde1c	3	4	11	4
Utp20	124	154	106	191
Spic	910	853	2716	2929
9330159F19Rik	25	24	23	13
Cul3	2012	2391	2195	2907
Il11	1	14	3	11
Large1	37	17	16	34
Ddx56	675	752	851	1025
Tmed4	1211	1310	1561	1789
Col26a1	70	66	50	103
Bid	787	981	720	820
Ralb	668	792	965	1046
Ppp1cc	4388	4942	5515	6678
Ppp1ccb	4388	4942	5515	6678
Dnajb11	1999	2266	2647	3193
Tbccd1	298	257	240	335
Clec11a	34	24	40	33
Zfp324	48	87	101	109
Gab2	352	325	417	380
Coro1c	1926	2155	2975	3291
Tax1bp1	4348	4892	5002	6077
Psg19	1	0	0	5
Ctse	142	101	363	309
Ndrg2	5	4	12	7
Mettl17	607	663	634	796
Arhgef40	284	210	339	297
Pnpla6	249	236	222	297
Mcoln1	864	936	1127	1331
Arhgef18	367	422	449	480
Pkn2	817	805	810	967
Cd33	393	426	372	560
Etfb	2751	2708	3533	4320
Nkg7	36	7	61	50
Stxbp2	3252	3685	5073	5465
Pcp2	21	26	5	22
Sgce	9	4	20	13
Chn2	2515	2880	2539	2707
Wwox	112	111	106	161
Slbp	4385	5278	6033	6865
Tyr	6	11	13	1
Aqp1	4	10	37	59
Arid3b	229	190	183	178
Cnn2	17022	17919	23752	27705
Polr2e	2746	2564	3522	4357
Abca13	11	11	14	35
Myo9b	1372	1470	1316	1663
Hdac9	441	449	264	305
Ly9	1850	2598	2923	3658
Cd244a	7921	8449	6135	6828
Adgre1	5561	6428	4664	6150
